Data;Abertura;Max;Min;Fechamento;Fechamento_Ajustado;Volume
Sep 30, 2024;137.83;137.95;135.23;136.70;136.70;3,814,000
Sep 27, 2024;139.00;139.29;137.05;137.30;137.30;2,956,100
Sep 26, 2024;137.56;140.72;137.55;139.44;139.44;4,111,100
Sep 25, 2024;137.23;137.89;136.04;136.60;136.60;3,579,900
Sep 24, 2024;136.47;137.94;136.35;137.22;137.22;3,145,300
Sep 23, 2024;134.70;136.09;134.69;135.64;135.64;2,638,400
Sep 20, 2024;133.01;134.95;132.77;134.77;134.77;11,579,600
Sep 19, 2024;134.40;135.32;133.32;133.84;133.84;2,691,500
Sep 18, 2024;133.26;134.28;131.76;133.36;133.36;2,960,900
Sep 17, 2024;134.09;134.43;132.31;133.57;133.57;3,969,000
Sep 16, 2024;133.98;135.28;133.83;134.61;134.61;3,069,300
Sep 13, 2024;131.88;133.37;131.35;133.18;133.18;2,670,100
Sep 12, 2024;130.30;132.72;130.10;132.03;132.03;3,978,800
Sep 11, 2024;129.50;130.38;127.12;130.23;130.23;3,283,800
Sep 10, 2024;128.85;130.16;128.46;130.09;130.09;2,732,500
Sep 9, 2024;129.39;130.98;128.19;128.46;128.46;3,616,300
Sep 6, 2024;130.50;132.10;128.02;128.60;128.60;3,562,200
Sep 5, 2024;131.92;132.95;130.70;131.40;131.40;2,726,000
Sep 4, 2024;131.19;132.86;130.85;132.15;132.15;3,300,700
Sep 3, 2024;133.01;133.78;130.21;130.85;130.85;4,024,100
Aug 30, 2024;133.07;134.99;132.61;134.69;134.69;6,092,800
Aug 29, 2024;131.65;133.18;131.34;132.91;132.91;2,992,600
Aug 28, 2024;131.40;132.62;131.15;131.61;131.61;3,274,000
Aug 27, 2024;131.32;132.62;130.95;131.40;131.40;2,878,500
Aug 26, 2024;129.60;131.92;129.60;131.85;131.85;3,915,800
Aug 23, 2024;129.23;130.65;128.85;130.55;129.85;2,618,800
Aug 22, 2024;129.10;129.75;128.30;128.60;127.91;2,300,400
Aug 21, 2024;127.84;129.99;127.66;129.23;128.54;3,664,600
Aug 20, 2024;126.99;128.07;126.88;127.70;127.02;2,792,900
Aug 19, 2024;127.08;127.85;126.53;127.08;126.40;2,243,600
Aug 16, 2024;126.74;127.34;126.02;127.05;126.37;3,812,600
Aug 15, 2024;127.32;127.94;126.17;127.16;126.48;3,359,900
Aug 14, 2024;124.97;127.04;124.63;126.17;125.49;3,252,800
Aug 13, 2024;123.43;125.40;122.74;125.35;124.68;3,056,600
Aug 12, 2024;124.00;124.09;122.54;123.36;122.70;2,585,800
Aug 9, 2024;124.64;124.64;123.34;124.17;123.50;3,247,700
Aug 8, 2024;122.45;125.74;122.18;125.13;124.46;2,932,900
Aug 7, 2024;125.39;126.57;122.69;122.83;122.17;3,410,100
Aug 6, 2024;123.36;126.13;122.72;124.89;124.22;4,334,300
Aug 5, 2024;119.57;125.32;119.31;124.61;123.94;6,669,700
Aug 2, 2024;125.81;127.75;124.78;125.24;124.57;4,021,400
Aug 1, 2024;127.50;127.94;124.43;126.47;125.79;5,563,700
Jul 31, 2024;126.63;128.60;125.33;127.55;126.87;6,889,900
Jul 30, 2024;125.85;127.69;124.11;126.75;126.07;6,746,500
Jul 29, 2024;128.00;128.65;124.13;125.16;124.49;10,816,700
Jul 26, 2024;112.69;128.03;112.69;127.16;126.48;32,748,900
Jul 25, 2024;102.72;104.79;101.77;103.39;102.84;4,598,100
Jul 24, 2024;104.56;105.10;103.08;103.25;102.70;3,252,000
Jul 23, 2024;105.00;105.27;104.17;104.73;104.17;2,172,600
Jul 22, 2024;104.06;105.04;102.40;104.97;104.41;2,686,600
Jul 19, 2024;104.75;104.75;103.13;103.92;103.36;2,884,900
Jul 18, 2024;104.22;105.52;103.44;104.02;103.46;3,023,800
Jul 17, 2024;102.86;104.80;102.69;104.64;104.08;3,567,900
Jul 16, 2024;100.87;103.69;100.87;103.31;102.76;3,609,000
Jul 15, 2024;104.90;105.00;102.57;102.72;102.17;3,316,600
Jul 12, 2024;103.79;105.30;103.69;104.04;103.48;3,381,000
Jul 11, 2024;102.38;104.27;101.80;103.23;102.68;4,581,100
Jul 10, 2024;99.81;101.83;98.26;101.67;101.12;4,519,500
Jul 9, 2024;100.85;101.46;99.47;99.69;99.16;2,809,300
Jul 8, 2024;101.51;102.74;100.62;101.10;100.56;2,338,700
Jul 5, 2024;101.40;101.66;100.64;101.32;100.78;3,059,600
Jul 3, 2024;101.29;102.15;100.68;101.62;101.08;1,230,800
Jul 2, 2024;100.56;101.93;100.46;101.62;101.08;2,291,300
Jul 1, 2024;102.86;103.45;100.21;100.61;100.07;2,705,600
